Year_Birth,Education,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Age,Is_Parent,Total_Kids,Marital_Status_Simplified,Total_Spent,MntWines_Share,MntFruits_Share,MntMeatProducts_Share,MntFishProducts_Share,MntSweetProducts_Share,MntGoldProds_Share,Total_Purchases,Avg_Spend_per_Purchase,Deal_Rate,Web_Purchase_Share,Web_Visit_to_Purchase_Ratio,Is_Online_Buyer,Customer_Since_Days,Is_Active,Lifetime_Spend_per_Day,Total_Accepted_Campaigns,Campaign_Response_Rate,Is_Responder,Cluster,Segment
1947,2n Cycle,81044,0,0,2013-12-27,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,US,78,0,0,Partnered,1208,0.3725165562913907,0.021523178807947,0.4428807947019867,0.0604304635761589,0.0811258278145695,0.021523178807947,22,54.90909090909091,0.0454545454545454,0.2272727272727272,0.1666666666666666,0,3657,1,0.3303254033360678,0,0.0,0,2,Champions
1979,Master,62499,1,0,2013-12-09,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,SP,46,1,1,Partnered,222,0.6306306306306306,0.018018018018018,0.2747747747747748,0.0,0.0585585585585585,0.018018018018018,12,18.5,0.1666666666666666,0.25,1.0,0,3675,1,0.0604081632653061,0,0.0,0,3,Budget-Conscious Parents
1959,PhD,67786,0,0,2013-12-07,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,IND,66,0,0,Single,1156,0.3728373702422145,0.0709342560553633,0.3814878892733564,0.0692041522491349,0.0173010380622837,0.088235294117647,16,72.25,0.0625,0.1875,0.25,0,3677,1,0.3143867283111232,0,0.0,1,2,Champions
1981,Graduation,26872,0,0,2013-10-16,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,CA,44,0,0,Partnered,72,0.0416666666666666,0.1388888888888889,0.1111111111111111,0.0416666666666666,0.2222222222222222,0.4444444444444444,5,14.4,0.2,0.2,3.0,0,3729,1,0.0193081255028157,0,0.0,0,3,Budget-Conscious Parents
1969,Graduation,4428,0,1,2013-10-05,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,SP,56,1,1,Partnered,359,0.0445682451253481,0.011142061281337,0.0334261838440111,0.0055710306406685,0.011142061281337,0.8941504178272981,25,14.36,0.0,1.0,0.0384615384615384,1,3740,1,0.0959893048128342,0,0.0,0,1,Newcomers
1977,Graduation,54809,1,1,2013-09-11,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,SP,48,1,2,Partnered,174,0.3620689655172414,0.0344827586206896,0.3275862068965517,0.0747126436781609,0.0747126436781609,0.1264367816091954,12,14.5,0.3333333333333333,0.1666666666666666,1.3333333333333333,0,3764,1,0.0462274176408076,0,0.0,0,0,At-Risk Customers
1977,Graduation,54809,1,1,2013-09-11,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,SP,48,1,2,Partnered,174,0.3620689655172414,0.0344827586206896,0.3275862068965517,0.0747126436781609,0.0747126436781609,0.1264367816091954,12,14.5,0.3333333333333333,0.1666666666666666,1.3333333333333333,0,3764,1,0.0462274176408076,0,0.0,1,0,At-Risk Customers
1958,PhD,32173,0,1,2013-08-01,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,SP,67,1,1,Single,22,0.8181818181818182,0.0,0.0909090909090909,0.0,0.0,0.0909090909090909,5,4.4,0.2,0.2,2.0,0,3805,1,0.0057818659658344,0,0.0,0,3,Budget-Conscious Parents
1960,2n Cycle,47823,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,CA,65,1,1,Single,72,0.7361111111111112,0.0138888888888888,0.0694444444444444,0.0277777777777777,0.0138888888888888,0.1388888888888889,7,10.285714285714286,0.2857142857142857,0.2857142857142857,2.6666666666666665,0,3814,1,0.0188778185631882,0,0.0,0,3,Budget-Conscious Parents
1958,Master,30523,2,1,2013-07-01,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,CA,67,1,3,Single,13,0.3846153846153846,0.0,0.2307692307692307,0.0,0.0,0.3846153846153846,4,3.25,0.25,0.25,3.5,0,3836,1,0.0033889468196037,0,0.0,0,0,At-Risk Customers
1954,Master,36634,0,1,2013-05-28,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,SA,71,1,1,Partnered,335,0.6358208955223881,0.026865671641791,0.226865671641791,0.0119402985074626,0.008955223880597,0.0895522388059701,15,22.33333333333333,0.2,0.3333333333333333,1.1666666666666667,0,3870,1,0.08656330749354,0,0.0,0,1,Newcomers
1966,Master,43456,0,1,2013-03-26,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,IND,59,1,1,Single,393,0.6997455470737913,0.0279898218829516,0.1730279898218829,0.0636132315521628,0.0178117048346055,0.0178117048346055,17,23.11764705882353,0.1764705882352941,0.2941176470588235,0.8333333333333334,0,3933,1,0.0999237223493516,0,0.0,0,1,Newcomers
1979,Master,40662,1,0,2013-03-15,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,GER,46,1,1,Partnered,92,0.4347826086956521,0.0217391304347826,0.25,0.0,0.0434782608695652,0.25,8,11.5,0.25,0.25,1.3333333333333333,0,3944,1,0.0233265720081135,0,0.0,0,3,Budget-Conscious Parents
1976,PhD,49544,1,0,2013-02-12,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,SP,49,1,1,Partnered,404,0.7623762376237624,0.0,0.1806930693069307,0.0,0.0,0.0569306930693069,16,25.25,0.125,0.3125,1.1666666666666667,0,3975,1,0.1016352201257861,0,0.0,0,1,Newcomers
1969,Graduation,57731,0,1,2012-11-23,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,IND,56,1,1,Single,704,0.3778409090909091,0.0298295454545454,0.4261363636363636,0.0923295454545454,0.0113636363636363,0.0625,26,27.07692307692308,0.1538461538461538,0.3076923076923077,0.6666666666666666,1,4056,1,0.1735700197238658,0,0.0,0,1,Newcomers
1965,Master,33168,0,1,2012-10-13,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,SP,60,1,1,Single,122,0.6557377049180327,0.0081967213114754,0.3032786885245901,0.0,0.0081967213114754,0.0245901639344262,10,12.2,0.3,0.2,2.333333333333333,0,4097,1,0.0297778862582377,0,0.0,0,3,Budget-Conscious Parents
1956,Graduation,54450,1,1,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP,69,1,2,Partnered,684,0.6637426900584795,0.0,0.25,0.0116959064327485,0.0277777777777777,0.0467836257309941,31,22.06451612903226,0.3870967741935484,0.2903225806451613,0.8,1,4126,1,0.1657779932137663,0,0.0,0,1,Newcomers
1956,PhD,35340,1,1,2014-06-29,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,SP,69,1,2,Single,45,0.6,0.0,0.2666666666666666,0.0,0.0222222222222222,0.1111111111111111,7,6.428571428571429,0.2857142857142857,0.2857142857142857,1.6666666666666667,0,3473,1,0.0129570976101353,0,0.0,0,0,At-Risk Customers
1975,Graduation,73170,0,0,2014-05-31,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,CA,50,0,0,Single,726,0.2534435261707989,0.2396694214876033,0.3526170798898072,0.0688705234159779,0.0413223140495867,0.0440771349862259,16,45.375,0.0625,0.3125,0.3333333333333333,0,3502,1,0.2073101085094232,0,0.0,0,2,Champions
1971,PhD,65808,1,1,2014-05-30,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,SP,54,1,2,Single,272,0.5698529411764706,0.025735294117647,0.2941176470588235,0.0477941176470588,0.025735294117647,0.0367647058823529,14,19.428571428571427,0.2142857142857142,0.3571428571428571,1.0,0,3503,1,0.0776477305166999,0,0.0,0,0,At-Risk Customers
1986,Graduation,79529,0,0,2014-04-27,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,CA,39,0,0,Partnered,1638,0.2582417582417582,0.0256410256410256,0.431013431013431,0.0445665445665445,0.1202686202686202,0.1202686202686202,22,74.45454545454545,0.0454545454545454,0.1818181818181818,0.4,0,3536,1,0.4632352941176471,0,0.0,0,2,Champions
1972,PhD,34578,2,1,2014-04-11,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,AUS,53,1,3,Partnered,8,0.875,0.0,0.125,0.0,0.0,0.0,4,2.0,0.25,0.25,3.0,0,3552,1,0.0022522522522522,0,0.0,0,0,At-Risk Customers
1974,PhD,46374,0,1,2014-03-17,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,0,IND,51,1,1,Partnered,446,0.9147982062780268,0.0,0.0470852017937219,0.0,0.0,0.0381165919282511,18,24.77777777777778,0.1666666666666666,0.3888888888888889,1.0,0,3577,1,0.12468549063461,2,0.4,1,1,Newcomers
1990,Graduation,18351,0,0,2013-10-29,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,SP,35,0,0,Partnered,43,0.0232558139534883,0.2790697674418604,0.2093023255813953,0.0,0.3255813953488372,0.1627906976744186,6,7.166666666666667,0.1666666666666666,0.3333333333333333,2.333333333333333,0,3716,1,0.0115715823466092,0,0.0,0,3,Budget-Conscious Parents
1987,PhD,95169,0,0,2013-10-09,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,SP,38,0,0,Single,1901,0.6759600210415571,0.0110468174644923,0.2361914781693845,0.0557601262493424,0.0105207785376117,0.0105207785376117,12,158.41666666666666,0.0833333333333333,0.3333333333333333,0.2,0,3736,1,0.5088329764453962,2,0.4,1,2,Champions
1984,2n Cycle,65370,0,0,2013-08-01,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,SP,41,0,0,Partnered,461,0.1540130151843818,0.0477223427331887,0.2429501084598698,0.2993492407809111,0.193058568329718,0.0629067245119305,19,24.26315789473684,0.0526315789473684,0.1052631578947368,0.3333333333333333,0,3805,1,0.1211563731931668,0,0.0,0,2,Champions
1960,Master,39228,0,0,2013-05-10,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,SA,65,0,0,Single,20,0.35,0.05,0.3,0.0,0.15,0.15,4,5.0,0.25,0.0,4.0,0,3888,1,0.0051440329218107,0,0.0,0,3,Budget-Conscious Parents
1961,PhD,84865,0,0,2013-05-09,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,SP,64,0,0,Single,1688,0.7393364928909952,0.0094786729857819,0.2067535545023696,0.0254739336492891,0.0094786729857819,0.0094786729857819,16,105.5,0.0625,0.125,1.3333333333333333,0,3889,1,0.434044741578812,4,0.8,1,2,Champions
1968,Graduation,61314,0,1,2013-04-25,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,SP,57,1,1,Partnered,1008,0.375,0.0,0.1875,0.0962301587301587,0.1706349206349206,0.1706349206349206,24,42.0,0.0833333333333333,0.2083333333333333,0.5,0,3903,1,0.2582628747117602,0,0.0,0,1,Newcomers
1972,Graduation,21359,1,0,2013-04-20,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,CA,53,1,1,Single,48,0.25,0.0416666666666666,0.3541666666666667,0.125,0.0208333333333333,0.2083333333333333,7,6.857142857142857,0.2857142857142857,0.2857142857142857,2.6666666666666665,0,3908,1,0.0122824974411463,0,0.0,1,3,Budget-Conscious Parents
1955,PhD,66465,0,1,2013-03-30,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,SP,70,1,1,Partnered,1485,0.8080808080808081,0.0,0.1373737373737373,0.0255892255892255,0.0195286195286195,0.0094276094276094,35,42.42857142857143,0.0857142857142857,0.3142857142857143,0.5,0,3929,1,0.3779587681343853,1,0.2,1,1,Newcomers
1983,2n Cycle,81698,0,0,2013-03-01,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,SP,42,0,0,Single,1104,0.6422101449275363,0.0407608695652173,0.1041666666666666,0.0271739130434782,0.144927536231884,0.0407608695652173,16,69.0,0.0625,0.5,0.5555555555555556,1,3958,1,0.2789287518948964,1,0.2,1,2,Champions
1986,Graduation,39146,1,0,2013-02-14,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,SP,39,1,1,Single,165,0.5696969696969697,0.006060606060606,0.2,0.0787878787878787,0.0727272727272727,0.0727272727272727,11,15.0,0.2727272727272727,0.3636363636363636,1.6,0,3973,1,0.0415303297256481,0,0.0,0,3,Budget-Conscious Parents
1970,2n Cycle,25959,1,1,2013-02-14,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,SP,55,1,2,Single,56,0.0714285714285714,0.0357142857142857,0.2142857142857142,0.125,0.0892857142857142,0.4642857142857143,7,8.0,0.2857142857142857,0.1428571428571428,3.0,0,3973,1,0.0140951422099169,0,0.0,1,0,At-Risk Customers
1961,Graduation,64260,0,0,2013-01-11,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,SP,64,0,0,Partnered,1574,0.3424396442185514,0.1073697585768742,0.5184243964421855,0.0127064803049555,0.0,0.0190597204574332,14,112.42857142857144,0.0714285714285714,0.2857142857142857,0.6,0,4007,1,0.3928125779885201,0,0.0,1,2,Champions
1973,Graduation,32300,1,0,2013-01-03,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,SP,52,1,1,Partnered,39,0.3333333333333333,0.0769230769230769,0.1538461538461538,0.1538461538461538,0.1282051282051282,0.1538461538461538,5,7.8,0.2,0.2,4.0,0,4015,1,0.0097135740971357,0,0.0,0,3,Budget-Conscious Parents
1965,Master,74806,0,1,2012-12-19,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,AUS,60,1,1,Partnered,965,0.694300518134715,0.0093264248704663,0.2580310880829015,0.0,0.0290155440414507,0.0093264248704663,16,60.3125,0.125,0.3125,0.6666666666666666,0,4030,1,0.2394540942928039,0,0.0,0,1,Newcomers
1970,Graduation,72967,0,1,2012-12-15,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,0,GER,55,1,1,Single,497,0.317907444668008,0.0704225352112676,0.3601609657947686,0.0,0.0,0.2515090543259557,19,26.157894736842103,0.1052631578947368,0.3684210526315789,0.625,0,4034,1,0.1232027764005949,1,0.2,1,1,Newcomers
1960,Graduation,48904,0,1,2012-12-02,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,US,65,1,1,Single,371,0.7628032345013477,0.0269541778975741,0.1024258760107816,0.0,0.0350404312668463,0.0727762803234501,17,21.823529411764707,0.2352941176470588,0.4117647058823529,1.0,1,4047,1,0.091672844082036,0,0.0,0,1,Newcomers
1984,2n Cycle,14796,1,0,2012-09-17,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,GER,41,1,1,Partnered,51,0.2549019607843137,0.0588235294117647,0.1568627450980392,0.1372549019607843,0.0784313725490196,0.3137254901960784,6,8.5,0.3333333333333333,0.1666666666666666,4.5,0,4123,1,0.0123696337618239,0,0.0,1,3,Budget-Conscious Parents
1954,Master,66991,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,GER,71,0,0,Partnered,1253,0.3958499600957701,0.028731045490822,0.3671189146049481,0.1508379888268156,0.0478850758180367,0.0095770151636073,21,59.66666666666666,0.1428571428571428,0.1904761904761904,0.6,0,4129,1,0.3034633083070961,0,0.0,0,1,Newcomers
1978,2n Cycle,52195,2,1,2014-05-12,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,SA,47,1,3,Single,17,0.7058823529411765,0.0,0.2352941176470588,0.0,0.0,0.0588235294117647,4,4.25,0.25,0.25,4.0,0,3521,1,0.0048281738142573,0,0.0,0,0,At-Risk Customers
1956,Graduation,90369,0,0,2014-04-28,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,SP,69,0,0,Partnered,1588,0.1838790931989924,0.0321158690176322,0.6177581863979849,0.1410579345088161,0.0144836272040302,0.010705289672544,17,93.41176470588236,0.0588235294117647,0.2352941176470588,0.2,0,3535,1,0.4492220650636492,0,0.0,1,2,Champions
1974,Basic,18393,1,0,2014-03-29,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,SP,51,1,1,Partnered,50,0.14,0.2,0.26,0.32,0.0,0.08,8,6.25,0.25,0.375,2.0,0,3565,1,0.0140252454417952,0,0.0,0,3,Budget-Conscious Parents
1952,Graduation,47139,1,1,2014-03-06,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,SP,73,1,2,Single,83,0.5542168674698795,0.0,0.144578313253012,0.0,0.0240963855421686,0.2771084337349397,7,11.857142857142858,0.2857142857142857,0.2857142857142857,2.333333333333333,0,3588,1,0.0231326644370122,0,0.0,1,0,At-Risk Customers
1973,Master,38576,0,1,2014-03-04,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,IND,52,1,1,Partnered,41,0.8292682926829268,0.0,0.1707317073170731,0.0,0.0,0.0,5,8.2,0.2,0.2,3.5,0,3590,1,0.0114206128133704,0,0.0,0,3,Budget-Conscious Parents
1975,PhD,61905,0,1,2014-02-04,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,SA,50,1,1,Partnered,231,0.7229437229437229,0.0,0.1861471861471861,0.0259740259740259,0.0086580086580086,0.0562770562770562,12,19.25,0.1666666666666666,0.3333333333333333,1.0,0,3618,1,0.0638474295190713,0,0.0,0,3,Budget-Conscious Parents
1962,Graduation,83715,0,0,2014-02-03,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,SA,63,0,0,Partnered,926,0.3434125269978402,0.0086393088552915,0.4395248380129589,0.161987041036717,0.0377969762419006,0.0086393088552915,24,38.583333333333336,0.0416666666666666,0.0833333333333333,0.0,0,3619,1,0.2558717877866814,0,0.0,0,2,Champions
1964,Graduation,60597,0,1,2014-01-01,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,SP,61,1,1,Partnered,893,0.5845464725643897,0.0,0.2877939529675252,0.0358342665173572,0.0179171332586786,0.0739081746920492,16,55.8125,0.25,0.125,2.333333333333333,0,3652,1,0.2445235487404162,1,0.2,1,1,Newcomers
1982,Master,6560,0,0,2013-12-12,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,SP,43,0,0,Single,373,0.1796246648793565,0.0294906166219839,0.0697050938337801,0.0107238605898123,0.0080428954423592,0.7024128686327078,2,186.5,0.0,0.5,8.5,0,3672,1,0.1015795206971677,0,0.0,0,3,Budget-Conscious Parents
1961,Master,48330,0,1,2013-11-15,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,SP,64,1,1,Partnered,32,0.875,0.0,0.125,0.0,0.0,0.0,5,6.4,0.2,0.2,2.5,0,3699,1,0.0086509867531765,0,0.0,0,3,Budget-Conscious Parents
1968,PhD,38236,1,1,2013-09-20,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0,SP,57,1,2,Single,88,0.6590909090909091,0.0,0.2045454545454545,0.0227272727272727,0.0,0.1136363636363636,11,8.0,0.3636363636363636,0.2727272727272727,1.75,0,3755,1,0.0234354194407456,0,0.0,0,0,At-Risk Customers
1977,Master,22701,1,0,2013-09-05,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,SP,48,1,1,Partnered,24,0.0833333333333333,0.1666666666666666,0.375,0.0,0.1666666666666666,0.2083333333333333,5,4.8,0.2,0.2,2.5,0,3770,1,0.006366047745358,0,0.0,0,3,Budget-Conscious Parents
1974,Master,53367,1,1,2013-08-31,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0,AUS,51,1,2,Single,400,0.5725,0.0175,0.35,0.025,0.0075,0.0275,21,19.047619047619047,0.3333333333333333,0.238095238095238,1.1666666666666667,0,3775,1,0.1059602649006622,0,0.0,1,0,At-Risk Customers
1986,Graduation,34728,1,0,2013-07-30,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0,SP,39,1,1,Partnered,36,0.3888888888888889,0.0,0.4444444444444444,0.0,0.0,0.1666666666666666,5,7.2,0.2,0.2,3.0,0,3807,1,0.0094562647754137,0,0.0,1,3,Budget-Conscious Parents
1956,Master,63915,0,2,2013-07-30,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0,AUS,69,1,2,Partnered,789,0.788339670468948,0.008871989860583,0.1457541191381495,0.0380228136882129,0.0,0.0190114068441064,23,34.30434782608695,0.0869565217391304,0.2608695652173913,0.7142857142857143,0,3807,1,0.2072498029944838,0,0.0,0,1,Newcomers
1960,2n Cycle,82504,0,0,2013-07-27,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,IND,65,0,0,Partnered,1066,0.3395872420262664,0.0469043151969981,0.4043151969981238,0.1257035647279549,0.0328330206378986,0.0506566604127579,17,62.70588235294117,0.0588235294117647,0.1764705882352941,0.25,0,3810,1,0.2797900262467191,0,0.0,0,2,Champions
1972,PhD,38578,1,1,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,SP,53,1,2,Single,73,0.5205479452054794,0.0547945205479452,0.3013698630136986,0.0410958904109589,0.0410958904109589,0.0410958904109589,9,8.11111111111111,0.3333333333333333,0.3333333333333333,2.0,0,3845,1,0.0189856957087126,0,0.0,1,0,At-Risk Customers
1972,PhD,38578,1,1,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,SP,53,1,2,Single,73,0.5205479452054794,0.0547945205479452,0.3013698630136986,0.0410958904109589,0.0410958904109589,0.0410958904109589,9,8.11111111111111,0.3333333333333333,0.3333333333333333,2.0,0,3845,1,0.0189856957087126,0,0.0,0,0,At-Risk Customers
1975,PhD,79174,0,0,2013-01-11,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,CA,50,0,0,Partnered,2043,0.5256975036710719,0.0181106216348507,0.2535487028879099,0.0944689182574645,0.045031815956926,0.0631424375917768,19,107.52631578947368,0.0526315789473684,0.2631578947368421,0.3333333333333333,0,4007,1,0.5098577489393561,2,0.4,1,2,Champions
1962,2n Cycle,81975,0,1,2013-01-05,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,SA,63,1,1,Single,1588,0.6190176322418136,0.0478589420654911,0.1158690176322418,0.1133501259445843,0.0869017632241813,0.0170025188916876,14,113.42857142857144,0.0714285714285714,0.4285714285714285,1.0,1,4013,1,0.3957139297283827,1,0.2,1,2,Champions
